"YEAR","SAMPLE","PERNUM","SEX","AGE","RACE","RACED","EDUC","EDUCD","INCTOT","US2018A_SEX","US2018A_PINCP"
2018,201801,1,1,49,1,100,6,64,0,"1","0000000"
2018,201801,1,2,26,2,200,8,81,0,"2","0000000"
2018,201801,1,1,37,2,200,4,40,17800,"1","0017800"
2018,201801,1,1,35,1,100,5,50,10400,"1","0010400"
2018,201801,1,2,56,1,100,6,65,5000,"2","0005000"
2018,201801,1,1,46,1,100,6,64,20000,"1","0020000"
2018,201801,1,1,32,1,100,7,71,31200,"1","0031200"
2018,201801,1,1,42,1,100,5,50,0,"1","0000000"
2018,201801,1,1,28,1,100,6,64,5400,"1","0005400"
2018,201801,1,2,20,2,200,8,81,0,"2","0000000"
2018,201801,1,2,22,2,200,7,71,1000,"2","0001000"
2018,201801,1,2,73,1,100,10,101,0,"2","0000000"
2018,201801,1,1,43,1,100,8,81,900,"1","0000900"
2018,201801,1,1,17,2,200,5,50,0,"1","0000000"
2018,201801,1,2,57,2,200,6,63,1400,"2","0001400"
2018,201801,2,2,54,2,200,4,40,0,"2","0000000"
2018,201801,3,1,55,2,200,6,63,50000,"1","0050000"
2018,201801,1,1,73,1,100,11,116,133100,"1","0133100"
2018,201801,2,2,75,1,100,7,71,13000,"2","0013000"
2018,201801,1,2,79,2,200,5,50,9200,"2","0009200"
2018,201801,2,1,57,2,200,7,71,12000,"1","0012000"
2018,201801,1,2,45,1,100,8,81,35000,"2","0035000"
2018,201801,2,1,57,1,100,6,63,35000,"1","0035000"
2018,201801,3,1,17,1,100,5,50,100,"1","0000100"
2018,201801,4,2,12,1,100,2,23,9999999,"2","BBBBBBB"
2018,201801,1,2,73,1,100,10,101,29400,"2","0029400"
2018,201801,2,1,76,1,100,10,101,314000,"1","0314000"
2018,201801,1,1,46,1,100,6,63,80000,"1","0080000"
2018,201801,2,2,45,1,100,6,63,0,"2","0000000"
2018,201801,3,2,17,1,100,5,50,0,"2","0000000"
2018,201801,1,1,43,1,100,11,114,120000,"1","0120000"
2018,201801,2,2,46,1,100,6,63,0,"2","0000000"
2018,201801,3,1,13,1,100,2,25,9999999,"1","BBBBBBB"
2018,201801,4,1,11,1,100,2,22,9999999,"1","BBBBBBB"
2018,201801,1,1,49,1,100,10,101,71800,"1","0071800"
2018,201801,2,1,14,1,100,2,25,9999999,"1","BBBBBBB"
2018,201801,3,1,12,1,100,2,23,9999999,"1","BBBBBBB"
2018,201801,4,2,11,1,100,2,22,9999999,"2","BBBBBBB"
2018,201801,1,2,70,1,100,6,63,4800,"2","0004800"
2018,201801,1,1,49,1,100,4,40,0,"1","0000000"
2018,201801,1,2,29,1,100,11,116,14800,"2","0014800"
2018,201801,2,1,31,1,100,10,101,48000,"1","0048000"
2018,201801,1,1,43,1,100,10,101,82000,"1","0082000"
2018,201801,2,2,37,1,100,10,101,38500,"2","0038500"
2018,201801,3,1,1,1,100,0,1,9999999,"1","BBBBBBB"
2018,201801,1,2,84,2,200,8,81,9300,"2","0009300"
2018,201801,1,2,39,1,100,7,71,25000,"2","0025000"
2018,201801,2,1,42,1,100,6,61,60000,"1","0060000"
2018,201801,3,2,15,1,100,4,40,0,"2","0000000"
